duration,data,name,provider,data_in_mb,price,is_promo
30,0,Local United States of America - 30 Days - 50 GB,telna,51200,32.99,False
30,20,Local United States of America - 30 Days - 20 GB,telna,20480,16.99,False
30,10,Local United States of America - 30 Days - 10 GB,telna,10240,9.99,False
15,5,Local United States of America - 15 Days - 5 GB,telna,5120,5.79,False
15,3,Local United States of America - 15 Days - 3 GB,telna,3072,3.99,False
7,2,Local United States of America - 7 Days - 2 GB,telna,2048,2.99,False
7,1,Local United States of America - 7 Days - 1 GB,telna,1024,1.29,False
1,1,Local United States of America - 1 Day - 1 GB,telna,1024,0.89,False
1,0,Local United States of America - 1 Day - 500 MB,telna,500,0.69,False
30,100,Local Turkey - 30 Days - 100 GB,telna,102400,59.99,False
30,0,Local Turkey - 30 Days - 50 GB,telna,51200,32.29,False
30,20,Local Turkey - 30 Days - 20 GB,telna,20480,12.99,False
30,10,Local Turkey - 30 Days - 10 GB,telna,10240,5.99,False
15,5,Local Turkey - 15 Days - 5 GB,telna,5120,4.99,False
15,3,Local Turkey - 15 Days - 3 GB,telna,3072,3.79,False
7,2,Local Turkey - 7 Days - 2 GB,telna,2048,2.99,False
7,1,Local Turkey - 7 Days - 1 GB,telna,1024,1.79,False
1,1,Local Turkey - 1 Day - 1 GB,telna,1024,0.89,False
1,0,Local Turkey - 1 Day - 500 MB,telna,500,0.59,False
30,10,Local United Arab Emirates - 30 Days - 10 GB,telna,10240,16.99,False
15,5,Local United Arab Emirates - 15 Days - 5 GB,telna,5120,10.99,False
15,3,Local United Arab Emirates - 15 Days - 3 GB,telna,3072,7.49,False
7,2,Local United Arab Emirates - 7 Days - 2 GB,telna,2048,5.49,False
7,1,Local United Arab Emirates - 7 Days - 1 GB,telna,1024,2.99,False
1,1,Local United Arab Emirates - 1 Day - 1 GB,telna,1024,0.99,False
1,0,Local United Arab Emirates - 1 Day - 500 MB,telna,500,0.69,False
30,0,Local Canada - 30 Days - 50 GB,telna,51200,49.99,False
30,20,Local Canada - 30 Days - 20 GB,telna,20480,23.49,False
30,10,Local Canada - 30 Days - 10 GB,telna,10240,13.99,False
15,5,Local Canada - 15 Days - 5 GB,telna,5120,8.99,False
15,3,Local Canada - 15 Days - 3 GB,telna,3072,6.49,False
7,2,Local Canada - 7 Days - 2 GB,telna,2048,4.79,False
7,1,Local Canada - 7 Days - 1 GB,telna,1024,2.49,False
1,1,Local Canada - 1 Day - 1 GB,telna,1024,0.89,False
1,0,Local Canada - 1 Day - 500 MB,telna,500,0.59,False
30,0,Local Japan - 30 Days - 50 GB,telna,51200,49.99,False
30,20,Local Japan - 30 Days - 20 GB,telna,20480,24.99,False
