country,days,package_type,price
Africa,1,unlimited,9.00
Africa,2,unlimited,17.00
Africa,3,unlimited,24.00
Africa,4,unlimited,27.00
Africa,5,unlimited,34.00
Africa,6,unlimited,37.00
Africa,7,unlimited,39.00
Africa,8,unlimited,42.00
Africa,9,unlimited,44.00
Africa,10,unlimited,49.00
Africa,11,unlimited,54.00
Africa,12,unlimited,59.00
Africa,13,unlimited,64.00
Africa,14,unlimited,69.00
Africa,15,unlimited,74.00
Africa,16,unlimited,79.00
Africa,17,unlimited,84.00
Africa,18,unlimited,89.00
Africa,19,unlimited,94.00
Africa,20,unlimited,99.00
Andorra,1,unlimited,6.00
Andorra,2,unlimited,9.00
Andorra,3,unlimited,12.00
Andorra,4,unlimited,15.00
Andorra,5,unlimited,19.00
Andorra,6,unlimited,23.00
Andorra,7,unlimited,27.00
Andorra,8,unlimited,29.00
Andorra,9,unlimited,32.00
Andorra,10,unlimited,34.00
Andorra,11,unlimited,37.00
Andorra,12,unlimited,40.00
Andorra,13,unlimited,42.00
Andorra,14,unlimited,44.00
Andorra,15,unlimited,47.00
Andorra,16,unlimited,49.00
Andorra,17,unlimited,50.00
Andorra,18,unlimited,52.00
Andorra,19,unlimited,55.00
Andorra,20,unlimited,57.00
Andorra,21,unlimited,59.00
Andorra,22,unlimited,60.00
Andorra,23,unlimited,61.00
Andorra,24,unlimited,62.00
Andorra,25,unlimited,63.00
Andorra,26,unlimited,64.00
Andorra,27,unlimited,65.00
Andorra,28,unlimited,66.00
Andorra,29,unlimited,67.00
Andorra,30,unlimited,69.00
Andorra,31,unlimited,70.00
Andorra,32,unlimited,71.00
Andorra,33,unlimited,72.00
Andorra,34,unlimited,73.00
Andorra,35,unlimited,74.00
Andorra,36,unlimited,75.00
Andorra,37,unlimited,76.00
Andorra,38,unlimited,77.00
Andorra,39,unlimited,78.00
Andorra,40,unlimited,79.00
Andorra,41,unlimited,80.00
Andorra,42,unlimited,81.00
Andorra,43,unlimited,82.00
Andorra,44,unlimited,83.00
Andorra,45,unlimited,84.00
Andorra,46,unlimited,85.00
Andorra,47,unlimited,86.00
Andorra,48,unlimited,87.00
Andorra,49,unlimited,88.00
Andorra,50,unlimited,89.00
Andorra,51,unlimited,90.00
Andorra,52,unlimited,91.00
Andorra,53,unlimited,92.00
Andorra,54,unlimited,93.00
Andorra,55,unlimited,94.00
Andorra,56,unlimited,95.00
Andorra,57,unlimited,96.00
Andorra,58,unlimited,97.00
Andorra,59,unlimited,98.00
Andorra,60,unlimited,99.00
Andorra,61,unlimited,100.00
Andorra,62,unlimited,101.00
Andorra,63,unlimited,102.00
Andorra,64,unlimited,103.00
Andorra,65,unlimited,104.00
Andorra,66,unlimited,105.00
Andorra,67,unlimited,106.00
Andorra,68,unlimited,107.00
Andorra,69,unlimited,108.00
Andorra,70,unlimited,109.00
Andorra,71,unlimited,110.00
Andorra,72,unlimited,111.00
Andorra,73,unlimited,112.00
Andorra,74,unlimited,113.00
Andorra,75,unlimited,114.00
Andorra,76,unlimited,115.00
Andorra,77,unlimited,116.00
Andorra,78,unlimited,117.00
Andorra,79,unlimited,118.00
Andorra,80,unlimited,119.00
Andorra,81,unlimited,120.00
Andorra,82,unlimited,121.00
Andorra,83,unlimited,122.00
Andorra,84,unlimited,123.00
Andorra,85,unlimited,124.00
Andorra,86,unlimited,125.00
Andorra,87,unlimited,126.00
Andorra,88,unlimited,127.00
Andorra,89,unlimited,128.00
Andorra,90,unlimited,129.00
Argentina,1,unlimited,9.00
Argentina,2,unlimited,12.00
Argentina,3,unlimited,19.00
Argentina,4,unlimited,24.00
Argentina,5,unlimited,27.00
Argentina,6,unlimited,29.00
Argentina,7,unlimited,34.00
Argentina,8,unlimited,35.00
Argentina,9,unlimited,36.00
Argentina,10,unlimited,37.00
Argentina,11,unlimited,39.00
Argentina,12,unlimited,41.00
Argentina,13,unlimited,43.00
Argentina,14,unlimited,45.00
Argentina,15,unlimited,47.00
Argentina,16,unlimited,49.00
Argentina,17,unlimited,50.00
Argentina,18,unlimited,52.00
Argentina,19,unlimited,55.00
Argentina,20,unlimited,57.00
Argentina,21,unlimited,59.00
Argentina,22,unlimited,60.00
Argentina,23,unlimited,61.00
Argentina,24,unlimited,62.00
Argentina,25,unlimited,63.00
Argentina,26,unlimited,64.00
Argentina,27,unlimited,65.00
Argentina,28,unlimited,79.00
Argentina,29,unlimited,81.00
Argentina,30,unlimited,83.00
Argentina,31,unlimited,85.00
Argentina,32,unlimited,87.00
Argentina,33,unlimited,89.00
Argentina,34,unlimited,91.00
Argentina,35,unlimited,93.00
Argentina,36,unlimited,95.00
Argentina,37,unlimited,97.00
Argentina,38,unlimited,99.00
Argentina,39,unlimited,101.00
Argentina,40,unlimited,103.00
Argentina,41,unlimited,105.00
Argentina,42,unlimited,107.00
Argentina,43,unlimited,109.00
Argentina,44,unlimited,111.00
Argentina,45,unlimited,113.00
Argentina,46,unlimited,115.00
Argentina,47,unlimited,117.00
