title,price,address,image_url,url,data_category,data_car_spaces,data_bedrooms,data_bathrooms,data_furnished,data_building_size,data_land_size,data_sku,data_geo_point,distance_from_target
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Jual Rumah 29 are di jl.Suli Pusat kota Denpasar,Rp850.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/jual-rumah-29-are-di-jl-suli-pusat-kota-denpasar-172087314658/,rumah,,5,5,,525,2025,HO669270BA4F917ID,"(-8.6480954818387, 115.22264779327)",0.25
DIJUAL SECEPATNYA TANAH BONUS BANGUNAN DIPUSAT KOTA DENPASAR,Rp8.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-secepatnya-tanah-bonus-bangunan-dipusat-kot-171724384140/,tanah,,,,,,500,LA665B0FC18A090ID,"(-8.6473873270844, 115.22399544387)",0.4
Dijual kantor percetakan,Rp4.000.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-kantor-percetakan-171117845977/,apartemen,100,1,2,,250,,AP65FE82DBF0B09ID,"(-8.64394, 115.22019)",0.7
Tanah Dangin Puri Denpasar Timur Dekat Polda Bali,Rp8.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/tanah-dangin-puri-denpasar-timur-dekat-polda-bali-171737786031/,tanah,,,,,,500,LA665D1B44EC822ID,"(-8.65402, 115.2203)",0.46
Rumah pusat Kota Denpasar,Rp995.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-pusat-kota-denpasar-171659679567/,rumah,,3,2,,82,73,HO6651303B813DAID,"(-8.6429468536462, 115.22288542235)",0.81
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
