title,price,address,image_url,url,data_category,data_car_spaces,data_bedrooms,data_bathrooms,data_furnished,data_building_size,data_land_size,data_sku,data_geo_point,distance_from_target
Rumah Baru Lantai.2 di pusat kota Denpasar Bali,Rp1.466.000.000,"Denpasar Selatan, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-baru-lantai-2-di-pusat-kota-denpasar-bali-171681766656/,rumah,,3,2,,70,84,HO66548F02427C4ID,"(-8.6514670931562, 115.21992892015)",0.23
"Rumah 2lt Lokasi Strategis Dekat Sekolah, Perkantoran Dan Mall Living",Rp4.430.000.000,"Denpasar Utara, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-2lt-lokasi-strategis-dekat-sekolah-perkantor-172304696653/,rumah,2,5,3,,357,332,HO66B39C369D389ID,"(-8.64746, 115.22054)",0.31
Dijual Rumah Modern Lokasi Strategis di Denpasar Utara,Rp3.200.000.000,"Denpasar Utara, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-rumah-modern-lokasi-strategis-di-denpasar-u-171264644851/,rumah,2,5,6,,450,240,HO6614E930250C3ID,"(-8.6439, 115.22123)",0.69
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Jual Rumah 29 are di jl.Suli Pusat kota Denpasar,Rp850.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/jual-rumah-29-are-di-jl-suli-pusat-kota-denpasar-172087314658/,rumah,,5,5,,525,2025,HO669270BA4F917ID,"(-8.6480954818387, 115.22264779327)",0.25
DIJUAL SECEPATNYA TANAH BONUS BANGUNAN DIPUSAT KOTA DENPASAR,Rp8.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-secepatnya-tanah-bonus-bangunan-dipusat-kot-171724384140/,tanah,,,,,,500,LA665B0FC18A090ID,"(-8.6473873270844, 115.22399544387)",0.4
Dijual kantor percetakan,Rp4.000.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-kantor-percetakan-171117845977/,apartemen,100,1,2,,250,,AP65FE82DBF0B09ID,"(-8.64394, 115.22019)",0.7
Tanah Dangin Puri Denpasar Timur Dekat Polda Bali,Rp8.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/tanah-dangin-puri-denpasar-timur-dekat-polda-bali-171737786031/,tanah,,,,,,500,LA665D1B44EC822ID,"(-8.65402, 115.2203)",0.46
Rumah pusat Kota Denpasar,Rp995.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-pusat-kota-denpasar-171659679567/,rumah,,3,2,,82,73,HO6651303B813DAID,"(-8.6429468536462, 115.22288542235)",0.81
RUMAH BARU BATUBULAN dkt jalan utama denpasar tohpati penatih siulan,Rp775.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-baru-batubulan-dkt-jalan-utama-denpasar-tohp-169174602451/,rumah,0,3,2,,70,100,HO64D5FEE83CFC6ID,"(-8.654178, 115.2237668)",0.51
Rumah Murah Tanah 200m² di Gatot Subroto Barat,Rp1.790.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-murah-tanah-200m-di-gatot-subroto-barat-168873695814/,rumah,2,4,3,,237,200,HO648B032B553CDID,"(-8.654178, 115.2237668)",0.51
TANAH BONUS RUMAH DEKAT RUMAH SAKIT DAN PERKANTORAN,Rp3.740.000.000,"Gatot Subroto, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/tanah-bonus-rumah-dekat-rumah-sakit-dan-perkantora-170653563733/,rumah,,4,4,,500,440,HO65B7AAD50B4F1ID,"(-8.6428477404965, 115.22044104974)",0.82
"Rumah Modern Minimalis 1,6 Are Lantai 2 Cargo Denpasar Barat",Rp2.300.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-modern-minimalis-1-6-are-lantai-2-cargo-denp-171100077895/,rumah,0,4,4,,190,160,HO65FBCCCA2CF48ID,"(-8.654178, 115.2237668)",0.51
Dijual Tanah Lokasi: Cemagi,Rp12.000.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-tanah-lokasi-cemagi-169625605624/,tanah,,,,,,1600,LA651AD0384D16CID,"(-8.654178, 115.2237668)",0.51
RUMAH MURAH style bali pinggir jalan utama padma penatih denpasar,Rp1.500.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-murah-style-bali-pinggir-jalan-utama-padma-p-169174603690/,rumah,0,4,1,,160,310,HO64D5FEF46C4F6ID,"(-8.654178, 115.2237668)",0.51
Dijual Rumah  Citraland Denpasar  Kawasan Cluster & Elite,Rp5.620.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-rumah-citraland-denpasar-kawasan-cluster-el-171100071679/,rumah,3,4,3,,300,210,HO65FBCC8C4A114ID,"(-8.654178, 115.2237668)",0.51
Dijual Rumah Minimalis Lantai 2 di Pusat Kota Denpasar Jalan Akasia Hayam Wuruk Denpa...,Rp1.400.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-rumah-minimalis-lantai-2-di-pusat-kota-denp-171100075556/,rumah,0,3,3,,120,100,HO65FBCCB3F0E88ID,"(-8.654178, 115.2237668)",0.51
Dijual Tanah Jalan Utama Bajataki Gatsu Barat Denpasar,Rp6.200.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-tanah-jalan-utama-bajataki-gatsu-barat-denp-171100071378/,tanah,0,,,,,800,LA65FBCC8947740ID,"(-8.654178, 115.2237668)",0.51
Dijual Tanah Bonus Bangunan Kos 17 Unit Kawasan Sanur Denpasar,Rp12.500.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-tanah-bonus-bangunan-kos-17-unit-kawasan-sa-171100070858/,tanah,0,,,,,1000,LA65FBCC84C2547ID,"(-8.654178, 115.2237668)",0.51
RUKO PINGGIR JALAN UTAMA DENPASAR dkt tukad badung tukad yeh aye,Rp2.800.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/ruko-pinggir-jalan-utama-denpasar-dkt-tukad-badung-169174602435/,komersial,0,,,,200,100,CO64D5FEE82CA1DID,"(-8.654178, 115.2237668)",0.51
Villa lantai 2 area  lokasi sangat nyaman karena posisi di ujung,Rp4.500.000.000,"Denpasar Timur, Denpasar",https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-lantai-2-area-lokasi-sangat-nyaman-karena-po-170654404953/,rumah,,6,4,,350,435,HO65B7CBB124D71ID,"(-8.6519740715984, 115.22962584644)",0.91
Villa modern minimalis yang di rancang sempurna di Sanur,Rp2.390.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-modern-minimalis-yang-di-rancang-sempurna-di-17151368328/,rumah,1,2,2,,80,106,HO663AE940AA80CID,"(-8.654178, 115.2237668)",0.51
Rumah One Gate Sistem di Denpasar Selatan,Rp1.400.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-one-gate-sistem-di-denpasar-selatan-170883884296/,rumah,1,2,2,,73,60,HO65D992A8AD880ID,"(-8.654178, 115.2237668)",0.51
Rumah Minimalis Modern Di Imam Bonjol Denpasar,Rp2.400.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-minimalis-modern-di-imam-bonjol-denpasar-171100072412/,rumah,0,3,2,,92,105,HO65FBCC945FD9BID,"(-8.654178, 115.2237668)",0.51
RUMAH STYLE VILLA buluh indah denpasar dkt gatsu padang sambian,Rp3.400.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-style-villa-buluh-indah-denpasar-dkt-gatsu-p-169174603152/,rumah,0,4,4,,180,417,HO64D5FEEF5ED17ID,"(-8.654178, 115.2237668)",0.51
DIJUAL / FOR SALE : SUPER B.U.C - Jual Sesuai NJOP,Rp3.500.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-for-sale-super-b-u-c-jual-sesuai-njop-169625606243/,tanah,,,,,,1000,LA651AD03E91E52ID,"(-8.654178, 115.2237668)",0.51
TANAH LANGKA PINGGIR JALAN UTAMA ida bagus mantra dkt sanut denpasar,Rp12.450.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/tanah-langka-pinggir-jalan-utama-ida-bagus-mantra-169174609470/,tanah,0,,,,,830,LA64D5FF2EAC7ABID,"(-8.654178, 115.2237668)",0.51
TANAH KAVLING Pusat kota denpasar siulan dkt penatih batubulan gatsu,Rp390.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/tanah-kavling-pusat-kota-denpasar-siulan-dkt-penat-16917460665/,tanah,0,,,,,100,LA64D5FF12E63BCID,"(-8.654178, 115.2237668)",0.51
Dijual Rumah 3 Lantai di Pusat Kota Denpasar,Rp8.200.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-rumah-3-lantai-di-pusat-kota-denpasar-17141026610/,rumah,,6,8,,950,375,HO662B21856C1C5ID,"(-8.654178, 115.2237668)",0.51
Villa Zero Degree Ubud Bali,Rp5.075.590.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/villa-zero-degree-ubud-bali-172129888816/,rumah,,4,3,,300,30000,HO6698EFC822ECBID,"(-8.654178, 115.2237668)",0.51
tanah sawah jalan 8 meter di Desa tangun titi selemadeg timur,Rp2.592.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/tanah-sawah-jalan-8-meter-di-desa-tangun-titi-sele-169693494296/,tanah,,,,,,7200,LA65252C1E4AE44ID,"(-8.654178, 115.2237668)",0.51
CUMA 595 JUTA   Dapatkan Rumah dekat dengan fasilitas Umum,Rp595.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/cuma-595-juta-dapatkan-rumah-dekat-dengan-fasilita-171515670623/,rumah,1,2,1,,40,60,HO663AE79201E85ID,"(-8.654178, 115.2237668)",0.51
Dijual Rumah 6 Kamr Tidur Lokasi Strategis di Denpasar,Rp6.900.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-rumah-6-kamr-tidur-lokasi-strategis-di-denp-171498402574/,rumah,,7,5,,373,530,HO66389459764D7ID,"(-8.654178, 115.2237668)",0.51
Dijual Tanah Jalan Utama Tangkuban Perahu Dkt Kerobokan Seminyak,Rp6.750.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-tanah-jalan-utama-tangkuban-perahu-dkt-kero-171100070853/,tanah,0,,0,144,500,500,LA65FBCC84BEA9EID,"(-8.654178, 115.2237668)",0.51
Dijual Tanah 2 Are Jalan Utama Tunjung Sari Gatot Subroto Barat,Rp1.800.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-tanah-2-are-jalan-utama-tunjung-sari-gatot-171100076985/,tanah,0,,,,,200,LA65FBCCC1D5E8AID,"(-8.654178, 115.2237668)",0.51
Rumah Baru Berlokasi Jalan Sedap Malam Denpasar Timur,Rp1.350.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-baru-berlokasi-jalan-sedap-malam-denpasar-ti-171100095357/,rumah,0,3,3,,120,72,HO65FBCD79AD7F8ID,"(-8.654178, 115.2237668)",0.51
Dijual Tanah Jalan Padang Galak Sanur Denpasar Lingkungan Villa,Rp11.702.500.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-tanah-jalan-padang-galak-sanur-denpasar-lin-17110007182/,tanah,0,,,,,1510,LA65FBCC8ECD213ID,"(-8.654178, 115.2237668)",0.51
"Dijual Tanah 14,3 Are Jalan Pb Jendral Sudirman Langka Jarang Ada Yang Jual Dikawasan...",Rp28.600.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-tanah-14-3-are-jalan-pb-jendral-sudirman-la-171100075487/,tanah,0,,,,,1430,LA65FBCCB2AA9F2ID,"(-8.654178, 115.2237668)",0.51
Rumah Luxury Modern di Denpasar Bali,Rp6.200.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-luxury-modern-di-denpasar-bali-172170598029/,rumah,4,5,6,,400,415,HO669F25FC3415BID,"(-8.654178, 115.2237668)",0.51
Rumah Lantai 2 Lokasi Diponogoro Sesetan Pesanggaran DPS,Rp1.150.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-lantai-2-lokasi-diponogoro-sesetan-pesanggar-171532576672/,rumah,,3,3,,120,90,HO663DCB4633AA9ID,"(-8.654178, 115.2237668)",0.51
Dijual ruang usaha di Raya Kuta,Rp9.000.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-ruang-usaha-di-raya-kuta-169495529926/,komersial,,,,,787,200,CO6506F723BC145ID,"(-8.654178, 115.2237668)",0.51
Tanah View Bagus di Bukit Kampial Denpasar Nusa Dua Bali,Rp3.035.500.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/tanah-view-bagus-di-bukit-kampial-denpasar-nusa-du-171276919854/,tanah,,,,144,,467,LA6616C2580AEF8ID,"(-8.654178, 115.2237668)",0.51
Rumah siap huni cocok untuk kondisi masih tersewa,Rp1.100.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-siap-huni-cocok-untuk-kondisi-masih-tersewa-170377559131/,rumah,1,2,2,,55,55,HO64E2FCF4AE13FID,"(-8.654178, 115.2237668)",0.51
"RUMAH SEMI FURNISH, Asri dan Nyaman DIKAWASAN ELITE RENON.",Rp6.500.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-semi-furnish-asri-dan-nyaman-dikawasan-elite-171221692162/,rumah,2,4,3,,600,400,HO660E5B5921357ID,"(-8.654178, 115.2237668)",0.51
"Dijual Tanah Super Murah (UNBLOCKING OCEAN VIEW), di Kampial Nusa Dua",Rp33.500.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-tanah-super-murah-unblocking-ocean-view-di-169640561882/,tanah,,,,,,12000,LA651D187241FA4ID,"(-8.654178, 115.2237668)",0.51
Rumah modern minimalis jl gunung agung,Rp2.100.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-modern-minimalis-jl-gunung-agung-169206608693/,rumah,,3,2,,180,119,HO64DAE126966EEID,"(-8.654178, 115.2237668)",0.51
CLUSTER EVARA PRIME CORNER || RUMAH MEWAH DI VASAKA BALI DEKAT AREA KOMERSIAL DAN REK...,Rp4.641.100.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/cluster-evara-prime-corner-rumah-mewah-di-vasaka-b-171592976680/,rumah,2,3,3,,129,159,HO664702A692423ID,"(-8.654178, 115.2237668)",0.51
Rumah 2BR di SANUR Denpasar Selatan,Rp2.000.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-2br-di-sanur-denpasar-selatan-171213722960/,rumah,0,2,1,,142,225,HO660D240D1615BID,"(-8.654178, 115.2237668)",0.51
Dijual Strategis Tanah Di Sanur Jalan Utama Danau Poso,Rp2.200.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-strategis-tanah-di-sanur-jalan-utama-danau-16957207295/,tanah,0,,,,,3000,LA6512A51937954ID,"(-8.654178, 115.2237668)",0.51
"RUMAH TUA APA ADANYA, siap untuk DIRENOVASI, Lokasi STRATEGIS di PEGUYANGAN Denpasar ...",Rp1.050.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/rumah-tua-apa-adanya-siap-untuk-direnovasi-lokasi-171221700197/,rumah,0,3,2,,75,250,HO660E5BA96E16EID,"(-8.654178, 115.2237668)",0.51
RUKO MURAH LOKASI STRATEGIS DENPASAR COCOK UNTUK INVESTASI,Rp6.100.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/ruko-murah-lokasi-strategis-denpasar-cocok-untuk-i-169839454974/,komersial,,,,,368,315,CO653B71B52D20AID,"(-8.654178, 115.2237668)",0.51
DIJUAL RUMAH SEMI VILLA ONE GATE Sistem LOKASI PADANG GALAK SANUR BALI,Rp2.000.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/dijual-rumah-semi-villa-one-gate-sistem-lokasi-pad-171920124691/,rumah,,3,3,,114,108,HO6678BA8866C9AID,"(-8.654178, 115.2237668)",0.51
JUal Rumah dgn Private Pool di Gatsu,Rp1.500.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/jual-rumah-dgn-private-pool-di-gatsu-171505880350/,rumah,1,3,2,,120,124,HO6639B873417EDID,"(-8.654178, 115.2237668)",0.51
Tanah Pinggir Jalan By Pass Ngurah Rai,Rp1.650.000.000,Denpasar,https://asset-id.lamudi.com/img/loading.png,https://www.lamudi.co.id/jual/bali/denpasar/tanah-pinggir-jalan-by-pass-ngurah-rai-170305887882/,tanah,,,,,,2200,LA65829DBE99F9CID,"(-8.654178, 115.2237668)",0.51
